2025-03-24 11:20:52,221 - INFO - ------------------------------------
2025-03-24 11:20:52,221 - INFO - ------------------------------------
2025-03-24 11:20:52,221 - INFO - ----- New Pacman A* Search Run -----
2025-03-24 11:20:52,221 - INFO - Start time: 2025-03-24 11:20:52.221611
2025-03-24 11:20:52,222 - INFO - Arguments: Namespace(layout_file='layouts/example_layout.txt', heuristic='mfd', no_visual=False, cell_size=20, delay=0.1, output=None)
2025-03-24 11:20:52,222 - INFO - Loading maze from layouts/example_layout.txt
2025-03-24 11:20:52,222 - INFO - Loading maze from file: layouts/example_layout.txt
2025-03-24 11:20:52,222 - INFO - Pacman start position found at (17, 1)
2025-03-24 11:20:52,222 - INFO - Maze loaded, dimensions: 36x18
2025-03-24 11:20:52,222 - INFO - Total food points: 8
2025-03-24 11:20:52,222 - INFO - Total magical pies: 4
2025-03-24 11:20:52,222 - INFO - Maze loaded successfully
2025-03-24 11:20:52,222 - INFO - Using Minimum Food Distance heuristic
2025-03-24 11:20:52,222 - INFO - Starting A* search
2025-03-24 11:20:52,222 - INFO - A* search started from position (17, 1)
2025-03-24 11:20:52,222 - INFO - Number of food points: 8
2025-03-24 11:20:52,222 - INFO - Number of magical pies: 4
2025-03-24 11:20:57,507 - INFO -   12: West
2025-03-24 11:20:57,507 - INFO -   13: West
2025-03-24 11:20:57,507 - INFO -   14: West
2025-03-24 11:20:57,507 - INFO -   15: West
2025-03-24 11:20:57,507 - INFO -   16: West
2025-03-24 11:20:57,507 - INFO -   17: North
2025-03-24 11:20:57,507 - INFO -   18: North
2025-03-24 11:20:57,507 - INFO -   19: North
2025-03-24 11:20:57,507 - INFO -   20: West
2025-03-24 11:20:57,507 - INFO -   21: West
2025-03-24 11:20:57,507 - INFO -   22: West
2025-03-24 11:20:57,507 - INFO -   23: West
2025-03-24 11:20:57,507 - INFO -   24: North
2025-03-24 11:20:57,507 - INFO -   25: North
2025-03-24 11:20:57,507 - INFO -   26: West
2025-03-24 11:20:57,507 - INFO -   27: North
2025-03-24 11:20:57,507 - INFO -   28: North
2025-03-24 11:20:57,507 - INFO -   29: North
2025-03-24 11:20:57,507 - INFO -   30: West
2025-03-24 11:20:57,507 - INFO -   31: West
2025-03-24 11:20:57,507 - INFO -   32: West
2025-03-24 11:20:57,508 - INFO -   33: West
2025-03-24 11:20:57,508 - INFO -   34: West
2025-03-24 11:20:57,508 - INFO -   35: West
2025-03-24 11:20:57,508 - INFO -   36: West
2025-03-24 11:20:57,508 - INFO -   37: West
2025-03-24 11:20:57,508 - INFO -   38: West
2025-03-24 11:20:57,508 - INFO -   39: North
